,epoch,Accuracy,Recall,Precision,F1_score,AUROC,time
0,0.0,0.8393,1.0,0.8393,0.9127,0.5,1.1149
1,1.0,0.8895,0.9828,0.8957,0.9372,0.6924,1.0162
2,2.0,0.9119,0.9702,0.9281,0.9487,0.7887,1.1008
3,3.0,0.9244,0.9676,0.9437,0.9555,0.8329,1.1126
4,4.0,0.9289,0.9778,0.9399,0.9585,0.8257,1.1101
5,5.0,0.932,0.972,0.9482,0.96,0.8474,1.0926
6,6.0,0.934,0.9767,0.9464,0.9613,0.8439,1.0828
7,7.0,0.9349,0.9679,0.9552,0.9615,0.8653,1.1025
8,8.0,0.9335,0.9672,0.9543,0.9607,0.8625,1.0572
9,9.0,0.9406,0.9687,0.9608,0.9647,0.8811,1.065
10,10.0,0.9356,0.9724,0.952,0.9621,0.858,1.1105
11,11.0,0.9379,0.972,0.9548,0.9633,0.8658,1.0831
12,12.0,0.9416,0.9766,0.9549,0.9656,0.8678,1.0835
13,13.0,0.9399,0.9738,0.9554,0.9645,0.8683,1.0872
14,14.0,0.9337,0.9718,0.9504,0.961,0.8534,1.0669
15,15.0,0.9383,0.9812,0.9472,0.9639,0.8477,1.0828
16,16.0,0.9398,0.9796,0.9501,0.9647,0.8555,1.0642
17,17.0,0.9415,0.9712,0.9597,0.9654,0.879,1.1173
18,18.0,0.9448,0.9806,0.9549,0.9676,0.8692,1.0753
19,19.0,0.9395,0.9627,0.9651,0.9639,0.8904,1.0553
20,20.0,0.943,0.9796,0.9537,0.9665,0.8657,1.0689
21,21.0,0.942,0.9761,0.9558,0.9658,0.8701,1.0042
22,22.0,0.947,0.9705,0.9665,0.9685,0.8973,0.9903
23,23.0,0.9444,0.9695,0.9644,0.967,0.8913,0.9981
24,24.0,0.9434,0.9674,0.9653,0.9663,0.8927,0.991
25,25.0,0.9424,0.9784,0.9542,0.9661,0.8666,1.0151
26,26.0,0.9495,0.9756,0.9646,0.9701,0.8944,1.003
27,27.0,0.9469,0.9834,0.9547,0.9688,0.8697,0.9859
28,28.0,0.9445,0.9708,0.9633,0.9671,0.8889,0.9933
29,29.0,0.946,0.9787,0.9579,0.9682,0.8769,0.9984
